Org,hits
PLAINSINTERNET,11.0
PLANET,22.0
PLANET-FIBER-VA,5.0
PLATEAU,81.0
PLDI,13.0
PLTE,1.0
PLUMAS-SIERRA-TELECOMMUNICATIONS,1.0
PMTL-AS1,4.0
PMU-PARAGOULD,2.0
PNPT-ASN,2.0
POINT5-MS,2.0
PONCACITYBROADBAND,3.0
PONYNET,62.0
POWERSHIFT-PLAINFIELD-VT,11.0
PREC-ASN-01,3.0
PREMIER-COMMUNICATIONS,3.0
PREMIER-HOLDINGS-LLC,3.0
PRIME SYSTEM TELECOM,3.0
PRIMUS-AS6407,4.0
PROGRESSIVETEL,8.0
PROJ-MUT-TEL,20.0
PROTEK-COMMUNICATIONS,2.0
PRTC-LAURENS,14.0
PRTC-MCKEE,4.0
PRTC-SC,29.0
PS Internet Company LLP,122.0
PSDATA,54.0
PSLIGHTWAVE,2.0
PT BINA INFORMATIKA SOLUSI,8.0
PT Biznet Gio Nusantara,123.0
PT Cloud Hosting Indonesia,1290.0
PT Giga Media Internet,3.0
PT Inti Data Telematika,640.0
PT JARINGANKU SARANA NUSANTARA,1.0
PT Jinde Grup Indonesia,26.0
PT Telekomunikasi Indonesia,4.0
PT Trimitra Aditama Koneksindo,2.0
PT. Cyberindo Aditama,6.0
PT. Kreasi Sejahtera Teknologi,131.0
PTN-AS1,4.0
PUBLIC-DOMAIN-REGISTRY,5.0
PVTN,14.0
PacketHub S.A.,21.0
Pakistan Telecommunication Company Limited,448.0
Pars Fonoun Ofogh Information Technology and Communications Company LTD,7.0
Petersburg Internet Network ltd.,87.0
Pfcloud UG,1324.0
Philippine Long Distance Telephone Company,158.0
"Phoenix Nap, LLC.",2.0
Pishgaman Toseeh Ertebatat Company (Private Joint Stock),6.0
Play,6.0
Private Joint Stock Company datagroup,2.0
Private Layer INC,114.0
Prospero Ooo,2.0
Proton66 OOO,788.0
Proximus NV,2.0
Pyhanet Oy,2.0
QCOL-AS,4.0
QSGIT,4.0
Qinghai Telecom,8.0
RACE,48.0
RADIOWIRE,1.0
RANCH-WIFI,3.0
RANDOLPHTELEPHONE,51.0
RAPID-FIBER-INTERNET-LLC,6.0
RCN-AS,1187.0
REACH4,5.0
REACHBROADBAND,9.0
REBELTECAS,5.0
RESERVETEL,26.0
RESOUND-NET,56.0
RETHEMHOSTING,2.0
REV-NET-TECHNOLOGIES,1.0
RGC-WIRELESS,4.0
RICAWEBSERVICES,2.0
RIPPLE-BROADBAND,1.0
RISE-BROADBAND,182.0
RITTERNET,184.0
RIVERNET,21.0
RIVRTECH,19.0
ROANOKE-CONNECT-ASN-1,17.0
ROCK-HILL-TELEPHONE,703.0
ROCKETCOMM,1.0
ROGERS-COMMUNICATIONS,207.0
ROUTERHOSTING,6.0
ROYELLCOMMUNICATIONSINC,2.0
RSINET-1,2.0
RTC-NET,4.0
RTC-RINGGOLD-GA,6.0
RUCLS1,2.0
RURAL-TELEPHONE-SVCCO,5.0
RUSSEPB,2.0
Radinet Info Solutions Private Limited,5.0
RailTel Corporation of India Ltd,38.0
Railnet LLC,288.0
Ranks ITT Ltd.,3.0
Red Cientifica Peruana,124.0
Reliance Jio Infocomm Limited,401.0
Respina Networks & Beyond PJSC,10.0
Rices Privately owned enterprise,51830.0
Rostelecom,192.0
Ruhr-Universitaet Bochum,6.0
SAKURA Internet Inc.,1204.0
SANDHILL-AS,45.0
SASKTEL,31.0
SCI-AS,2.0
SCINTERNET,27.0
SCIREMC,8.0
SCOTTEPB,4.0
SCOTTS-AS,3.0
SCRTC,14.0
SCSALASKA,3.0
SDC-AS,43.0
SDL-20-AS,8.0
SDNW-13576,2.0
SECOM-1,9.0
SEIDATA,2.0
SEIONTEC-SYSTEMS,10.0
SEMPRE TELECOMUNICACOES LTDA,2.0
SERVER-MANIA,6.0
SF-PSN,2.0
SGO-BROADBAND,2.0
SHAW,112.0
SHAWNEELINK,4.0
SHENTEL,342.0
SIA Tet,4.0
SILVERSTAR-TELEPHONE,2.0
SJCRH,4.0
SK Broadband Co Ltd,3.0
SKYBEST,10.0
SKYRUNNER-INC,2.0
SKYWAVE,3.0
SM Internet Network,1.0
SMARTAIRA-DP,3.0
SMARTWAYCOMM,4.0
SMILESERV,3.0
SNET-FCC,470.0
SOCANTEL-001,12.0
SOCKET,10.0
SOUTH-CENTRAL-CONNECT,11.0
SOUTHWEST-ARKANSAS-TELEPHONE-COOPERATIVE,16.0
SPACEX-STARLINK,1543.0
SPANISHFORK-COMMUNITY-NETWORK,3.0
SPEARHEAD LIFESTYLE INDIA PRIVATE LIMITED,38.0
SPEEDWAVZ,9.0
SPIRITTEL-AS,10.0
SQN-NET,30.0
SRT-ASN,8.0
SS-Net,2106.0
SSASN2,6.0
SSTC-NET-1,70.0
STARLIGHTFIBER,15.0
STARRY-NY,42.0
STARTELCO,6.0
STARWIRELESS-15153,68.0
STELLAR-ASSOCIATION,68.0
STRADA-COMM,6.0
STRATA-NETWORKS,2.0
STRATUSIQ,2.0
STRTEC,7.0
SUDDENLINK-COMMUNICATIONS,1541.0
SUREWEST,32.0
SURF B.V.,13.0
SURFAIRWIRELESS-IN-02,55.0
SURRY-TELEPHONE-MEMB-CORP,17.0
SVEC-1,3.0
SWAYZEECOM,3.0
Saero Network Service LTD,2.0
Safaricom,3.0
Sakura Link Limited,4.0
SaveCom Internation Inc.,1.0
Scaleway S.a.s.,105.0
Scloud Pte Ltd,23.0
"Securitytrails, LLC",19.0
Seed Technologies LTD.,11.0
ServeTheWorld AS,2.0
Servicos De Comunicacoes E Multimedia S.A.,113.0
Shandong Mobile Communication Company Limited,22.0
Shenzhen Tencent Computer Systems Company Limited,137.0
Shereverov Marat Ahmedovich,188.0
Shree Omkar Infocom Pvt Ltd,111.0
"Sistemas Informaticos, S.A.",610.0
Skoruk Andriy Oleksandrovych,2.0
Sky UK Limited,8.0
Skynet Network Ltd,260.0
"Strong Technology, LLC",3.0
Sunrise GmbH,5.0
Superloop,2.0
Switch Fiber,1.0
T-FIBER,2.0
T-MOBILE-AS21928,34649.0
T-Mobile Czech Republic a.s.,1.0
T-Systems International GmbH,5025.0
TACH,71.0
TACT COMMUNICATION PVT LTD,2.0
TALKIE-COMMUNICATIONS,2.0
TAUNTON-MUNICIPAL,3.0
TAYLOR-ELECTRICCOOPERATIVE-INC,4.0
TAYLOR-LINK1,4.0
TBDSL-01,4.0
TCIGATEWAY,1.0
TDS-AS,415.0
TE Data,3.0
TEAMPHARR-ASN,177.0
TEC-OF-JACKSON-INC,77.0
TEKNET-WISP,4.0
TEKSAVVY,18.0
TEL-STAR,3.0
TELCOM-SYSTEMS,5.0
TELEBERMUDA,11.0
TELECOM SCAE LTDA,2.0
TELECOM-LESOTHO,3.0
"TELECOMUNICACIONES G-NETWORK, C.A.",2.0
TELEFONICA BRASIL S.A,1.0
TELEMEDIA-ASN,10.0
TELEPAK-NETWORKS-INC,143.0
TELMAX-INC,6.0
TELUS Communications,157.0
TEPACONNECT,2.0
TGTEL,30.0
THE-INTERNET-SUBWAY,1.0
THECABLE-STKITTS-01,18.0
THINKBIGNETWORKS-KC,1.0
TIER-NET,18.0
TIM,103.0
"TIME dotCom Berhad No. 14, Jalan Majistret U126 Hicom Glenmarie Industrial Park 40150 Shah Al",2.0
TISD-VIC,46.0
TISHOMINGO-CONNECT-01,30.0
TLSN-TX,3.0
TM TECHNOLOGY SERVICES SDN. BHD.,4.0
TOMBIGBEE-FIBER,111.0
TOMBIGBEECOMM-1,16.0
TOT Public Company Limited,41.0
TPG Telecom Limited,4.0
TRANSACT-BM-ASN,33.0
TREPIC-NETWORKS-01,2.0
TRI-CO-CONNECTIONS,6.0
TRI-COGO,15.0
TRI-COUNTY-FIBER-COMMUNICATIONS,8.0
TRICOLINK,17.0
TRINET1,1.0
TROYCABLE-NET,23.0
"TRUE INTERNET Co.,Ltd.",2.0
TRUESTREAM,2.0
TRUVISTA,67.0
TSWIFI-AS,18.0
TURBONET CE,1.0
TVC-AS1,1.0
TVC-ASN,16.0
TVIFIBER,50.0
TWC-10796-MIDWEST,7129.0
TWC-11351-NORTHEAST,2102.0
TWC-11426-CAROLINAS,6476.0
TWC-11427-TEXAS,4785.0
TWC-11955-ATLANTA,51.0
TWC-12271-NYC,1951.0
TWC-20001-PACWEST,4464.0
TWC-7843-BB,7.0
TWIN-LAKES,38.0
TZULO,9.0
Taiwan Infrastructure Network Technologie,2.0
TalkTalk,7.0
Tamatiya EOOD,182.0
Tata Teleservices ISP AS,1.0
Tata Teleservices Maharashtra Ltd,7.0
Techoff Srv Limited,172.0
Telchak Gold Ventures (private) Limited,57.0
Tele2 SWIPnet,2.0
Telecom Algeria,2.0
Telecom Argentina S.A.,124.0
Telefonica de Argentina,115.0
Telemach Hrvatska d.o.o.,4.0
Telenor Sverige AB,1.0
Telia Company AB,6.0
"Telia Lietuva, AB",1.0
Telia Norge AS,27.0
Telkom-Internet,2.0
Telmex Colombia S.A.,130.0
Telstra Global,5.0
Telstra Limited,4.0
"Tencent Building, Kejizhongyi Avenue",3076.0
Tikona Infinet Ltd.,119.0
"Timeweb, LLP",2.0
"Today Communication Co.,Ltd",2.0
Tom Gewiese,5.0
Tube-Hosting,35.0
Turk Telekom,5.0
Turkcell Iletisim Hizmetleri A.s.,8.0
Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.,1.0
Two Degrees Networks Limited,2.0
UAB Baltnetos komunikacijos,17.0
UAB Host Baltic,272.0
UCLOUD INFORMATION TECHNOLOGY HK LIMITED,2153.0
UCSD,4.0
UFINET PANAMA S.A.,2.0
UGA-ASN,6.0
UIA,13.0
UK Dedicated Servers Limited,635.0
UK-2 Limited,10.0
UNICOM AnHui province network,2.0
UNIFIEDLAYER-AS-1,3.0
UNINET,15.0
UNITAS,2.0
UNITED-BROADBAND,73.0
UNITED-FIBER,12.0
UNITED-TELEPHONE,28.0
UNITI-FIBER,86.0
UNONET,2.0
UNOUN INTERNET LTDA,2.0
UNWIRED-NOC,18.0
UPHS,4.0
UPLINK-INTERNET,14.0
UPNLLC,11.0
UPSTATE-FIBER-NETWORK,81.0
USCC-ASN,57.0
USINTERNET,1.0
USTCONLINE,8.0
UTMA,4.0
UTOPIA-FIBER,10.0
UUNET,15609.0
Ucom CJSC,10.0
Unmanaged Ltd,610.0
V tal,6.0
VALLEY-COMMUNICATIONS,2.0
VALTECH-ENTERPRISES,2.0
VANDERBILT,4.0
VC-ASN-01,2.0
VELOCITY,5.0
VERO S.A,8.0
VERO-NETWORKS-AS6653,40.0
VGPE-ASN1,4.0
VIAERO-WIRELESS-GPRS,10.0
VIANET,8.0
VIASAT-SP-BACKBONE,40.0
VIDEOTRON,18.0
VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,27.0
VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,19.0
VIGNANs FOUDATION FOR SCIENCE TECHNOLOGY AND RESEARCH,8.0
VILLANOVA-UNIV,12.0
VIPNAS1,2.0
VIRP,5.0
VISIONARY,13.0
VNPT Corp,12987.0
VOLTBROADBAND-01,10.0
VSW,6.0
VT-255-50219,110.0
VTCNET,4.0
VTXC,85.0
VYVE-BROADBAND,150.0
Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,19.0
"Vietnam F Tech., JSC",7.0
Viettel Corporation,14.0
Viettel Group,459.0
Virgin Media,14.0
Virtutel Pty Ltd,2.0
Virus Net LLC,147.0
Vocus Retail,2.0
Vodafone Albania Sh.A.,3.0
Vodafone GmbH,439.0
Vodafone Idea Ltd,3.0
Vodafone Italia S.p.A.,3.0
Vodafone Limited,3.0
Vodafone Romania S.A.,313.0
Vodafone-panafon Hellenic Telecommunications Company SA,1.0
Vpsvault.host Ltd,1131.0
WADSNET,6.0
WAIcore Ltd,94.0
WATCHCOMM-IN,7.0
WAVE-RURAL-CONNECT-LLC,9.0
WAVE-WIRELESS-LLC,5.0
WCCL-AS,62.0
WCG-AS,12.0
WCI-NET,6.0
WCTA,1.0
WEBPASS,10.0
WEBSTER-CALHOUN-ASN,25.0
WELINK-COMMUNICATIONS-01,33.0
WERCS-NET,85.0
WESTERN-IOWA-NETWORKS-396443,26.0
WFC-ASN,4.0
WGELD-ASN,4.0
WGL-107-PACIFIC-WYYERD,16.0
WGL-107-ZONA-WYYERD,102.0
WHITESKY-COMMUNICATIONS,80.0
WIATEL,7.0
WIFI-PRADO C.A,18.0
WIIT AG,1.0
WILDSTAR-NETWORKS-01,3.0
WILKES-COMM,48.0
WIN,8.0
WINDSTREAM,13911.0
WINNE-IPV4-1,4.0
WIRE3,25.0
WIRESTAR,5.0
WKNET,11.0
WOW-INTERNET,942.0
WRT-AS,1.0
WST-INET,4.0
WSU-PUL-AS,18.0
WTCC,6.0
WTS-AS,2.0
WVVANET,2.0
WWTC-247-01,5.0
WYAN-AS,20.0
Wind Tre S.p.A.,3.0
Witel Srl,6.0
XCHANGETELECOMCORP,21.0
Xhost Internet Solutions Lp,167.0
YADTELNET,75.0
YISU CLOUD LTD,6.0
YOTTA NETWORK SERVICES PRIVATE LIMITED,1.0
ZAP-Hosting GmbH,212.0
ZAYO-6461,2.0
ZEN-ECN,440.0
ZHONGGUANCUN-CO,220.0
ZITOMEDIA611,17.0
ZOOM-ONLINE,6.0
Zaklad Gospodarki Lokalowej Sp. Z O.o. W Bialej Podlaskiej,14.0
dataforest GmbH,2.0
i3D.net B.V,8.0
iTools JSC,62.0
netcup GmbH,2.0
w1n ltd,1.0
